record_id,parcel_id_raw,parcel_id_clean,parcel_id_type,flag_category,flag_reason,current_holder,prior_party,location,area,commission_recommendation,source_volume,source_page,flag_source_csv,notes,transaction_date,price_kshs,needs_manual_review
forest_001,Grant I.R. 70244,IR 70244,file_ref,forest_excision_named_allocation,Land excised from Ngong Road Forest and allocated,"Permanent Secretary Treasury (in trust, signed Gacanja)",,Ngong Road,339.8 ha,,3,223,forest_excision_case_studies_vol3.csv,reserved use: Forest held in trust,,,0
forest_002,Grant I.R. 81938,IR 81938,file_ref,forest_excision_named_allocation,Land excised from Ngong Road Forest and allocated,Ngong Road Sanctuary (PS Treasury in trust),,Ngong Road,538.2 ha,,3,223,forest_excision_case_studies_vol3.csv,reserved use: Leasehold,,,0
forest_003,,,named,forest_excision_named_allocation,Land excised from Ngong Road Forest and allocated,Private developers,,Ngong Road,789.8 ha,,3,223,forest_excision_case_studies_vol3.csv,"reserved use: Excluded from title, allocated to developers",,,1
forest_004,,,named,forest_excision_named_allocation,Land excised from Ngong Road Forest and allocated,Private developers (ex-Langata Women's Prison expansion),,Ngong Road,8.8 ha,,3,224,forest_excision_case_studies_vol3.csv,reserved use: Prison expansion land,,,1
forest_005,LR 2234,2234,lr,forest_excision_named_allocation,Land excised from Ngong Road Forest and allocated,Kenya Medical Resuscitation Centre & others,,Ngong Road,15.09 ha,,3,224,forest_excision_case_studies_vol3.csv,reserved use: Exchange to hospital/residential; instrument: Ref FOR 68/7/3VOL.1V/211,,,0
forest_006,,,named,forest_excision_named_allocation,Land excised from Ngong Road Forest and allocated,Private developer (reportedly sold to parastatals),,Ngong Road,53.68 ha,,3,224,forest_excision_case_studies_vol3.csv,reserved use: Cleared forest; instrument: Legal Notice 44 of 1998,,,1
forest_007,,,named,forest_excision_named_allocation,Land excised from Ngong Road Forest and allocated,Irregular excision (boundary plan not found),,Ngong Road,82 ha,,3,224,forest_excision_case_studies_vol3.csv,reserved use: Irregular excision; instrument: Legal Notice 79 of 1997; Boundary Plan 175/364,,,1
forest_008,,,named,forest_excision_named_allocation,Land excised from Karura Forest and allocated,ICRAF,,Karura,3.0 ha,,3,225,forest_excision_case_studies_vol3.csv,reserved use: Diplomatic land; instrument: Ref 119134/39 of 11/3/94,,,1
forest_009,Grant I.R. 37653,IR 37653,file_ref,forest_excision_named_allocation,Land excised from Karura Forest and allocated,Tumaini School,,Karura,26.251 ha,,3,225,forest_excision_case_studies_vol3.csv,reserved use: School leasehold; instrument: Gazette Notice 1802 of 2/5/82,,,0
forest_010,LR 19090/1-4 / Grant I.R. 623173,19090/1,lr,forest_excision_named_allocation,Land excised from Karura Forest and allocated,Hezekiah Karanja Kogo,,Karura,0.756 ha,,3,225,forest_excision_case_studies_vol3.csv,reserved use: Road corridor,,,0
forest_011,Grant I.R. 57926,IR 57926,file_ref,forest_excision_named_allocation,Land excised from Karura Forest and allocated,Samson Muriithi Nduhiu,,Karura,0.2179 ha,,3,225,forest_excision_case_studies_vol3.csv,reserved use: Road corridor,,,0
forest_012,LR 22733 / Grant I.R. 73513,22733,lr,forest_excision_named_allocation,Land excised from Karura Forest and allocated,Sardu Singh Virdi & Gusharan Kaur,,Karura,0.8651 ha,,3,225,forest_excision_case_studies_vol3.csv,reserved use: Road corridor,,,0
forest_013,LR 19090,19090,lr,forest_excision_named_allocation,Land excised from Karura Forest and allocated,Johnson Githii Karanja (transferee),,Karura,0.3774 ha,,3,225,forest_excision_case_studies_vol3.csv,reserved use: Road corridor,,,0
forest_014,,,named,forest_excision_named_allocation,Land excised from Karura Forest and allocated,Waweru Mungai (transferee),,Karura,0.1899 ha,,3,225,forest_excision_case_studies_vol3.csv,reserved use: Road corridor,,,1
forest_015,,,named,forest_excision_named_allocation,Land excised from Karura Forest and allocated,Famwell Promotions Limited (transferee),,Karura,0.1887 ha,,3,225,forest_excision_case_studies_vol3.csv,reserved use: Road corridor,,,1
forest_016,,,named,forest_excision_named_allocation,Land excised from Karura Forest and allocated,Peter Kamau (transferee),,Karura,0.8651 ha,,3,225,forest_excision_case_studies_vol3.csv,reserved use: Road corridor,,,1
forest_017,,,named,forest_excision_named_allocation,Land excised from Karura Forest and allocated,Hon. J.J Kamotho,,Karura,2.668 ha,,3,225,forest_excision_case_studies_vol3.csv,reserved use: Exchange for Kenya Technical Teachers College land; instrument: Gazette Notice 2019 of 28/4/89,,,1
forest_018,,,named,forest_excision_named_allocation,Land excised from Karura Forest and allocated,Pelican Engineering and Construction (NSSF claims purchase),,Karura,18.41 ha,,3,225,forest_excision_case_studies_vol3.csv,reserved use: Excision; instrument: Gazette Notice 4818 of 19/8/94,,,1
