record_id,parcel_id_raw,parcel_id_clean,parcel_id_type,flag_category,flag_reason,current_holder,prior_party,location,area,commission_recommendation,source_volume,source_page,flag_source_csv,notes,transaction_date,price_kshs,needs_manual_review
relig_001,"Milimani Primary School, Nairobi",,named,religious_institution_grab,Public land (Public School) illegally allocated to religious institution,International Bible Students Association,,Nairobi,7.831 Acres,,3,183,religious_institutions_grabbed.csv,reserved/intended user: Public School,,,1
relig_002,"Riruta Satellite Primary, Nairobi",,named,religious_institution_grab,Public land (Public School) illegally allocated to religious institution,Gospel Revival Centre,,Nairobi,1 Ha,,3,183,religious_institutions_grabbed.csv,reserved/intended user: Public School,,,1
relig_003,"Block 60/463, Otiende Estate",Block 60/463,block,religious_institution_grab,Public land (Open space/playground (Residential)) illegally allocated to religious institution,Catholic Archdiocese of Nairobi,,,,,3,183,religious_institutions_grabbed.csv,reserved/intended user: Open space/playground (Residential),,,0
relig_004,"Block 60/466, Otiende Estate",Block 60/466,block,religious_institution_grab,Public land (Open space/playground (Residential)) illegally allocated to religious institution,Catholic Archdiocese of Nairobi,,,0.5933 Ha,,3,183,religious_institutions_grabbed.csv,reserved/intended user: Open space/playground (Residential),,,0
relig_005,Block 60/484,Block 60/484,block,religious_institution_grab,Public land (Open space) illegally allocated to religious institution,Church of Jesus Christ,,,,,3,183,religious_institutions_grabbed.csv,reserved/intended user: Open space,,,0
relig_006,LR No. Kabete/Kabete 124-128,,named,religious_institution_grab,Public land (Schools and Prison Ext. Programme) illegally allocated to religious institution,PCEA and Christian Community Service,,,,,3,183,religious_institutions_grabbed.csv,reserved/intended user: Schools and Prison Ext. Programme,,,1
relig_007,"LR No. 209/5391 (Lady Northey Trust, Medical)",209/5391,lr,religious_institution_grab,Public land (Public School / Medical) illegally allocated to religious institution,AIC / AIPCA,,,2.41 Ha; 12 Acres,,3,183,religious_institutions_grabbed.csv,reserved/intended user: Public School / Medical,,,1
relig_008,"Gacharage Primary, Maragua",,named,religious_institution_grab,Public land (Public School) illegally allocated to religious institution,,,Maragua,,,3,183,religious_institutions_grabbed.csv,reserved/intended user: Public School,,,1
relig_009,"Kariko Primary, Maragua",,named,religious_institution_grab,Public land (Public School) illegally allocated to religious institution,AIPCA Kariko Church,,Maragua,,,3,183,religious_institutions_grabbed.csv,reserved/intended user: Public School,,,1
relig_010,"Gachwe Primary, Nyandarua",,named,religious_institution_grab,Public land (Public School) illegally allocated to religious institution,Church Commission for Kenya,,Nyandarua,5 Acres,,3,183,religious_institutions_grabbed.csv,reserved/intended user: Public School,,,1
relig_011,"Star of the Sea Primary, Mombasa",,named,religious_institution_grab,Public land (Public School) illegally allocated to religious institution,Full Gospel Churches of Kenya,,Mombasa,,,3,184,religious_institutions_grabbed.csv,reserved/intended user: Public School,,,1
relig_012,"Tulima Primary, Machakos",,named,religious_institution_grab,Public land (Public School) illegally allocated to religious institution,AIC Church,,Machakos,1 Acre,,3,184,religious_institutions_grabbed.csv,reserved/intended user: Public School,,,1
relig_013,"Mugumone Primary, Meru Central",,named,religious_institution_grab,Public land (Public School) illegally allocated to religious institution,AIPCA Church,,Meru,2 Acres,,3,184,religious_institutions_grabbed.csv,reserved/intended user: Public School,,,1
relig_014,Omoya Primary School,,named,religious_institution_grab,Public land (Public School) illegally allocated to religious institution,Full Gospel Churches of Kenya,,,5 Acres,,3,184,religious_institutions_grabbed.csv,reserved/intended user: Public School,,,1
relig_015,Bureti Kirimose Primary,,named,religious_institution_grab,Public land (Public School) illegally allocated to religious institution,Catholic Church,,,1 Acre,,3,184,religious_institutions_grabbed.csv,reserved/intended user: Public School,,,1
relig_016,"Arap Moi Primary, Kajiado",,named,religious_institution_grab,Public land (Public School) illegally allocated to religious institution,PCEA Foundation,,Kajiado,9 Acres,,3,184,religious_institutions_grabbed.csv,reserved/intended user: Public School,,,1
relig_017,"Kasoas Primary School, Nandi",,named,religious_institution_grab,Public land (Public School) illegally allocated to religious institution,ACK Church,,Nandi,3 Acres,,3,184,religious_institutions_grabbed.csv,reserved/intended user: Public School,,,1
relig_018,"Kapkiptui Primary School, Nandi",,named,religious_institution_grab,Public land (Public School) illegally allocated to religious institution,Seventh Day Adventist Church (East Africa),,Nandi,3 Acres,,3,184,religious_institutions_grabbed.csv,reserved/intended user: Public School,,,1
relig_019,"Milimani Primary, Butere Mumias",,named,religious_institution_grab,Public land (Public School) illegally allocated to religious institution,St Paul's Musanda Luo ACK Church,,,2 Acres,,3,184,religious_institutions_grabbed.csv,reserved/intended user: Public School,,,1
relig_020,"Lumakanda, Lugali",,named,religious_institution_grab,Public land (Public School) illegally allocated to religious institution,Baptist Church,,,1 Acre,,3,184,religious_institutions_grabbed.csv,reserved/intended user: Public School,,,1
relig_021,"Kiamwangi Secondary, Thika",,named,religious_institution_grab,Public land (Public School) illegally allocated to religious institution,AIC,,Thika,1 Acre,,3,184,religious_institutions_grabbed.csv,reserved/intended user: Public School,,,1
relig_022,"Block 5/551, Kisumu",Block 5/551,block,religious_institution_grab,Public land (Public Utility) illegally allocated to religious institution,Provincial Synod of A.C.P.K.,,Kisumu,0.2469 Ha,,3,184,religious_institutions_grabbed.csv,reserved/intended user: Public Utility,,,0
relig_023,"Block 6/261, Kisumu",Block 6/261,block,religious_institution_grab,Public land (Government Housing) illegally allocated to religious institution,Aga Khan Karim Shah and Aga Khan Foundation,,Kisumu,0.5451 Ha,,3,184,religious_institutions_grabbed.csv,reserved/intended user: Government Housing,,,0
relig_024,"Lunyu Mixed School, Kakamega",,named,religious_institution_grab,Public land (Public School) illegally allocated to religious institution,PAG Church,,Kakamega,2 Acres,,3,185,religious_institutions_grabbed.csv,reserved/intended user: Public School,,,1
relig_025,"LR 9917/8, ADC Astra Farm, Machakos",9917/8,lr,religious_institution_grab,Public land (ADC Farm) illegally allocated to religious institution,AIC,,Machakos,3851.71 Acres,,3,185,religious_institutions_grabbed.csv,reserved/intended user: ADC Farm,,,0
relig_026,"LR 16672/37, ADC Farm",16672/37,lr,religious_institution_grab,Public land (ADC Farm) illegally allocated to religious institution,AIC,,,30 Acres,,3,185,religious_institutions_grabbed.csv,reserved/intended user: ADC Farm,,,0
relig_027,"LR 9867, ADC Baraka, Nakuru",9867,lr,religious_institution_grab,Public land (ADC Farm) illegally allocated to religious institution,Catholic Church,,Nakuru,1040 Acres,,3,185,religious_institutions_grabbed.csv,reserved/intended user: ADC Farm,,,0
relig_028,"LR 209/11969, Nairobi",209/11969,lr,religious_institution_grab,Public land (Kevevapi) illegally allocated to religious institution,Catholic Church,,Nairobi,6.0 Acres,,3,185,religious_institutions_grabbed.csv,reserved/intended user: Kevevapi,,,0
relig_029,Block 32/210,Block 32/210,block,religious_institution_grab,Public land (Public Utility) illegally allocated to religious institution,SDA (EA) Church,,,0.5112 Ha,,3,185,religious_institutions_grabbed.csv,reserved/intended user: Public Utility,,,0
relig_030,"LR 11239, Kibera",11239,lr,religious_institution_grab,Public land (Public Utility) illegally allocated to religious institution,Presbyterian Foundation,,Kibera,1.1488 Ha,,3,185,religious_institutions_grabbed.csv,reserved/intended user: Public Utility,,,0
relig_031,Nursery School,,named,religious_institution_grab,Public land (public utility) illegally allocated to religious institution,SDA Church,,,,,3,185,religious_institutions_grabbed.csv,,,,1
relig_032,"Kiyonga Crescent, Maringo Estate",,named,religious_institution_grab,Public land (Children's playground) illegally allocated to religious institution,ACK St. Mary Magdalene,,,,,3,185,religious_institutions_grabbed.csv,reserved/intended user: Children's playground,,,1
relig_033,LR 209/12596,209/12596,lr,religious_institution_grab,Public land (Parking Space) illegally allocated to religious institution,Siri Ramgarhia,,,0.2018 Ha,,3,185,religious_institutions_grabbed.csv,reserved/intended user: Parking Space,,,0
relig_034,Block 60/494,Block 60/494,block,religious_institution_grab,Public land (Road Reserve) illegally allocated to religious institution,SDA Church,,,0.4414 Ha,,3,185,religious_institutions_grabbed.csv,reserved/intended user: Road Reserve,,,0
relig_035,"HG 255, Kileleshwa",HG255,file_ref,religious_institution_grab,Public land (Government House) illegally allocated to religious institution,Catholic Church,,Kileleshwa,,,3,185,religious_institutions_grabbed.csv,reserved/intended user: Government House,,,1
relig_036,"HG 256, Kileleshwa",HG256,file_ref,religious_institution_grab,Public land (Government House) illegally allocated to religious institution,Holy Trinity,,Kileleshwa,,,3,185,religious_institutions_grabbed.csv,reserved/intended user: Government House,,,1
relig_037,"LR 209/3861/1 (HG 131), State House Avenue",209/3861/1,lr,religious_institution_grab,Public land (Government House) illegally allocated to religious institution,ACK Church,,,,,3,185,religious_institutions_grabbed.csv,reserved/intended user: Government House,,,0
relig_038,"LR 209/3858, Sanford Flats (15 Flats)",209/3858,lr,religious_institution_grab,Public land (Government House) illegally allocated to religious institution,AIC Church,,,,,3,185,religious_institutions_grabbed.csv,reserved/intended user: Government House,,,0
